index,timestamp,file_name,file_size,mode,total_execution_time,total_stripes,avg_stripe_time,total_blocks,avg_latency,avg_throughput,avg_network_throughput
1,2026-05-03 16:11:51,single_02aa5bfb_file_16MB.txt,16777216,single,20.21090579032898,1,0.01828289031982422,15.976587533950806,6,0.33474477132161456,139.79834143320718,26.192574134144223
2,2026-05-03 16:12:12,parallel_f1874c61_file_16MB.txt,16777216,parallel,18.936997413635254,1,0.01590132713317871,15.67158818244934,6,0.2516549825668335,268.93697420756024,34.43325640263753
3,2026-05-03 16:12:29,block_parallel_69b124f7_file_16MB.txt,16777216,block_parallel,16.914979457855225,1,0.015875816345214844,15.791142702102661,6,0.5763100385665894,343.94607671101886,0
4,2026-05-03 16:12:52,single_429e61fd_file_4MB.txt,4194304,single,20.249558210372925,1,0.017644643783569336,15.900557279586792,6,0.33519279956817627,150.82752799987793,26.29075204019453
5,2026-05-03 16:13:12,parallel_f373c3e9_file_4MB.txt,4194304,parallel,18.386258840560913,1,0.016637563705444336,15.92825961112976,6,0.18176774183909097,324.4122899373372,41.247361419823854
6,2026-05-03 16:13:32,block_parallel_d32977a0_file_4MB.txt,4194304,block_parallel,17.789524793624878,1,0.01981186866760254,15.717847108840942,6,1.7471652428309123,8.974810520807901,0
7,2026-05-03 16:13:51,single_7f476bbd_file_2MB.txt,2097152,single,18.410646438598633,1,0.011211156845092773,15.939041137695312,6,0.18169434865315756,323.06743876139325,40.69489355239187
8,2026-05-03 16:14:13,parallel_962a7eb0_file_2MB.txt,2097152,parallel,21.78653883934021,1,0.017592668533325195,17.89473843574524,6,0.29071958859761554,158.7687282562256,27.571861302621443
9,2026-05-03 16:14:31,block_parallel_fab5b44a_file_2MB.txt,2097152,block_parallel,18.28186297416687,1,0.01754593849182129,17.36838722229004,6,0.6046456495920817,301.03838602701825,0
10,2026-05-03 16:15:14,single_5509ed5a_file_64MB.txt,67108864,single,39.25851631164551,2,0.014026641845703125,15.686780214309692,12,0.295510212580363,194.12534952163696,28.888750867941315
11,2026-05-03 16:15:52,parallel_df36a5ec_file_64MB.txt,67108864,parallel,37.67067575454712,2,0.03121006488800049,32.42961549758911,12,0.293712039788564,195.43922837575278,29.50938543573969
12,2026-05-03 16:16:25,block_parallel_40de60ee_file_64MB.txt,67108864,block_parallel,33.52970552444458,2,0.017635583877563477,15.696917057037354,12,0.7535991470019022,249.99328263600668,0
13,2026-05-03 16:16:45,single_5379141b_file_1MB.txt,1048576,single,19.19313621520996,1,0.018441438674926758,15.90105938911438,6,0.2499548594156901,331.977824529012,34.21878603488231
14,2026-05-03 16:17:06,parallel_26e9edd1_file_1MB.txt,1048576,parallel,18.85127830505371,1,0.0177154541015625,15.661823034286499,6,0.2425838311513265,233.3637212117513,33.84795405692086
15,2026-05-03 16:17:24,block_parallel_1fc1f324_file_1MB.txt,1048576,block_parallel,17.835711240768433,1,0.016339778900146484,16.317270040512085,6,1.0447524388631184,183.26490211486816,0
16,2026-05-03 16:17:43,single_379ac325_file_8MB.txt,8388608,single,18.70335865020752,1,0.014940977096557617,16.22973108291626,6,0.18131391207377115,327.8232828776042,40.00312455816019
17,2026-05-03 16:18:04,parallel_ea377480_file_8MB.txt,8388608,parallel,21.36741805076599,1,0.01516413688659668,16.33206844329834,6,0.3859750032424927,38.76121520996094,19.13823521601387
18,2026-05-03 16:18:22,block_parallel_15075296_file_8MB.txt,8388608,block_parallel,17.333334922790527,1,0.01447916030883789,16.734386682510376,6,0.4922101100285848,314.4075622558594,0
19,2026-05-03 16:18:43,single_fce8ff72_file_32MB.txt,33554432,single,20.888388872146606,1,0.014900684356689453,16.73617911338806,6,0.3150351842244466,144.85317993164062,26.706224273844587
20,2026-05-03 16:19:03,parallel_5f2b3f39_file_32MB.txt,33554432,parallel,20.287566661834717,1,0.02029728889465332,16.96300506591797,6,0.2596657673517863,265.70395215352374,34.34807161906686
21,2026-05-03 16:19:21,block_parallel_b8dfbdcb_file_32MB.txt,33554432,block_parallel,17.40742826461792,1,0.018903732299804688,16.361375093460083,6,0.61122198899587,244.38707733154297,0
1,2026-05-03 16:21:45,single_eb9cb7e8_file_32MB.txt,33554432,single,20.118210077285767,1,0.020786523818969727,15.864379644393921,6,0.30706000328063965,141.13300641377768,25.185481766890366
2,2026-05-03 16:22:03,parallel_95009ab9_file_32MB.txt,33554432,parallel,18.06032133102417,1,0.020882606506347656,15.527396202087402,6,0.18615726629892984,431.27081298828125,39.84680155551906
3,2026-05-03 16:22:21,block_parallel_478923b1_file_32MB.txt,33554432,block_parallel,17.713303804397583,1,0.02058553695678711,15.549359321594238,6,1.793363332748413,6.734120448430379,0
